,YYYY-MM,Peak Demand (MW),Grid
0,2001-1,5119.0,Luzon
1,2002-1,5212.0,Luzon
2,2003-1,5282.0,Luzon
3,2004-1,5511.0,Luzon
4,2005-1,5471.0,Luzon
5,2006-1,5619.0,Luzon
6,2007-1,5819.0,Luzon
7,2008-1,5972.25,Luzon
8,2009-1,6117.6,Luzon
9,2010-1,6407.0,Luzon
10,2011-1,6594.0,Luzon
11,2012-1,7027.0,Luzon
12,2013-1,7079.0,Luzon
13,2014-1,7121.0,Luzon
14,2015-1,7315.0,Luzon
15,2016-1,8175.0,Luzon
16,2017-1,8249.0,Luzon
17,2018-1,9213.0,Luzon
18,2019-1,9123.0,Luzon
19,2020-1,9713.0,Luzon
20,2001-2,5157.0,Luzon
21,2002-2,5056.0,Luzon
22,2003-2,5345.0,Luzon
23,2004-2,5701.0,Luzon
24,2005-2,5853.0,Luzon
25,2006-2,5776.0,Luzon
26,2007-2,6115.0,Luzon
27,2008-2,6093.73,Luzon
28,2009-2,6451.96,Luzon
29,2010-2,6878.0,Luzon
30,2011-2,6877.0,Luzon
31,2012-2,7162.0,Luzon
32,2013-2,7214.0,Luzon
33,2014-2,7545.0,Luzon
34,2015-2,7610.0,Luzon
35,2016-2,8229.0,Luzon
36,2017-2,8668.0,Luzon
37,2018-2,9579.0,Luzon
38,2019-2,9309.0,Luzon
39,2020-2,9889.0,Luzon
40,2001-3,5384.0,Luzon
41,2002-3,5424.0,Luzon
42,2003-3,5705.0,Luzon
43,2004-3,6065.0,Luzon
44,2005-3,6210.0,Luzon
45,2006-3,6186.0,Luzon
46,2007-3,6157.0,Luzon
47,2008-3,6211.11,Luzon
48,2009-3,6642.0,Luzon
49,2010-3,7057.0,Luzon
50,2011-3,7006.0,Luzon
51,2012-3,7503.0,Luzon
52,2013-3,7720.0,Luzon
53,2014-3,7655.0,Luzon
54,2015-3,7878.0,Luzon
55,2016-3,8806.0,Luzon
56,2017-3,9459.0,Luzon
57,2018-3,9936.0,Luzon
58,2019-3,10180.0,Luzon
59,2020-3,11103.0,Luzon
60,2001-4,5523.0,Luzon
61,2002-4,5589.0,Luzon
62,2003-4,6149.0,Luzon
63,2004-4,6218.0,Luzon
64,2005-4,6266.0,Luzon
65,2006-4,6222.0,Luzon
66,2007-4,6581.0,Luzon
67,2008-4,6663.0,Luzon
68,2009-4,6845.0,Luzon
69,2010-4,7305.0,Luzon
70,2011-4,7056.0,Luzon
71,2012-4,7885.0,Luzon
72,2013-4,8178.0,Luzon
73,2014-4,8267.0,Luzon
74,2015-4,8727.0,Luzon
75,2016-4,9586.0,Luzon
76,2017-4,9831.0,Luzon
77,2018-4,10539.0,Luzon
78,2019-4,10957.0,Luzon
79,2020-4,8377.0,Luzon
80,2001-5,5646.0,Luzon
81,2002-5,5823.0,Luzon
82,2003-5,6109.0,Luzon
83,2004-5,6323.0,Luzon
84,2005-5,6443.0,Luzon
85,2006-5,6466.0,Luzon
86,2007-5,6643.0,Luzon
87,2008-5,6484.71,Luzon
88,2009-5,6829.0,Luzon
89,2010-5,7656.0,Luzon
90,2011-5,7538.0,Luzon
91,2012-5,7889.0,Luzon
92,2013-5,8305.0,Luzon
93,2014-5,8717.0,Luzon
94,2015-5,8928.0,Luzon
95,2016-5,9726.0,Luzon
96,2017-5,10054.0,Luzon
97,2018-5,10750.0,Luzon
98,2019-5,11245.0,Luzon
99,2020-5,9639.0,Luzon
100,2001-6,5447.0,Luzon
101,2002-6,5750.0,Luzon
102,2003-6,5831.0,Luzon
103,2004-6,5978.0,Luzon
104,2005-6,6348.0,Luzon
105,2006-6,6339.0,Luzon
106,2007-6,6619.0,Luzon
107,2008-6,6674.47,Luzon
108,2009-6,6928.0,Luzon
109,2010-6,7646.0,Luzon
110,2011-6,7552.0,Luzon
111,2012-6,7709.0,Luzon
112,2013-6,8208.0,Luzon
113,2014-6,8607.0,Luzon
114,2015-6,8881.0,Luzon
115,2016-6,9507.0,Luzon
116,2017-6,10000.0,Luzon
117,2018-6,10876.0,Luzon
118,2019-6,11344.0,Luzon
119,2020-6,10642.0,Luzon
120,2001-7,5281.0,Luzon
121,2002-7,5652.0,Luzon
122,2003-7,5856.0,Luzon
123,2004-7,6061.0,Luzon
124,2005-7,6039.0,Luzon
125,2006-7,6221.0,Luzon
126,2007-7,6464.0,Luzon
127,2008-7,6559.0,Luzon
128,2009-7,6848.0,Luzon
129,2010-7,7240.0,Luzon
130,2011-7,7438.0,Luzon
131,2012-7,7574.0,Luzon
132,2013-7,8030.0,Luzon
133,2014-7,8265.0,Luzon
134,2015-7,8826.0,Luzon
135,2016-7,9339.0,Luzon
136,2017-7,9588.0,Luzon
137,2018-7,9996.0,Luzon
138,2019-7,10997.0,Luzon
139,2020-7,10595.0,Luzon
140,2001-8,5313.0,Luzon
141,2002-8,5604.0,Luzon
142,2003-8,5813.0,Luzon
143,2004-8,5906.0,Luzon
144,2005-8,6107.0,Luzon
145,2006-8,6094.0,Luzon
146,2007-8,6369.0,Luzon
147,2008-8,6402.95,Luzon
148,2009-8,6863.0,Luzon
149,2010-8,7009.0,Luzon
150,2011-8,7200.0,Luzon
151,2012-8,7242.0,Luzon
152,2013-8,7755.0,Luzon
153,2014-8,8230.0,Luzon
154,2015-8,8889.0,Luzon
155,2016-8,9379.0,Luzon
156,2017-8,9957.0,Luzon
157,2018-8,9843.0,Luzon
158,2019-8,10687.0,Luzon
159,2020-8,10422.0,Luzon
160,2001-9,5364.0,Luzon
161,2002-9,5559.0,Luzon
162,2003-9,5885.0,Luzon
163,2004-9,6097.0,Luzon
164,2005-9,5998.0,Luzon
165,2006-9,6195.0,Luzon
166,2007-9,6416.0,Luzon
167,2008-9,6495.58,Luzon
168,2009-9,6873.0,Luzon
169,2010-9,7057.0,Luzon
170,2011-9,7107.0,Luzon
171,2012-9,7293.0,Luzon
172,2013-9,7966.0,Luzon
173,2014-9,8005.0,Luzon
174,2015-9,8738.0,Luzon
175,2016-9,9082.0,Luzon
176,2017-9,9806.0,Luzon
177,2018-9,10035.0,Luzon
178,2019-9,10392.0,Luzon
179,2020-9,10570.0,Luzon
180,2001-10,5460.0,Luzon
181,2002-10,5687.0,Luzon
182,2003-10,5878.0,Luzon
183,2004-10,5916.0,Luzon
184,2005-10,5843.0,Luzon
185,2006-10,5845.0,Luzon
186,2007-10,6155.0,Luzon
187,2008-10,6627.4,Luzon
188,2009-10,6530.0,Luzon
189,2010-10,7074.0,Luzon
190,2011-10,7255.0,Luzon
191,2012-10,7421.0,Luzon
192,2013-10,7564.0,Luzon
193,2014-10,7993.0,Luzon
194,2015-10,8624.0,Luzon
195,2016-10,9005.0,Luzon
196,2017-10,9483.0,Luzon
197,2018-10,10346.0,Luzon
198,2019-10,10845.0,Luzon
199,2020-10,10344.0,Luzon
